stemming;label
['hotel', 'mudah', 'temu', 'jalan', 'malioboro', 'karyawan', 'ramah', 'kamar', 'bersih', 'housekeeping', 'bagus', 'bersih', 'cepat', 'kurang', 'tidak', 'tempat', 'parkir', 'batas', 'tugas', 'parkir', 'butuh', 'kunci', 'buat', 'tidak', 'nyaman', 'kamar', 'mandi', 'tidak', 'lengkap', 'hand', 'pancur', 'bawa', 'bayi', 'susah', 'mandi', 'shower', 'atap', 'sarapan', 'variasi', 'lezat', 'kurang', 'turut', 'tidak', 'bagus', 'semoga', 'tingkat', 'ruang', 'tidak', 'kedap', 'udara', 'tari', 'kursi', 'kamar', 'belah', 'semoga', 'baik', 'hotel', 'rekomendasi', 'coba', 'semoga', 'layan', 'bersih', 'jaga'];Negatif
['lokasi', 'atas', 'lokasi', 'hotel', 'banyak', 'toko', 'toko', 'jual', 'barang', 'toko', 'ruang', 'jenis', 'kamar', 'luas', 'bersih', 'wangi', 'dispenser', 'air', 'minum', 'sedia', 'jenis', 'kamar', 'keluarga', 'tidak', 'susah', 'semoga'];Positif
['pengalaman', 'menginap', 'tidak', 'senang', 'menginap', 'mei', 'toilet', 'pancur', 'rusak', 'informasi', 'kamar', 'service', 'lambar', 'respon', 'besok', 'baik', 'mati', 'lampu', 'menit', 'jelas', 'tolong', 'baik'];Negatif
['lokasi', 'mudah', 'temu', 'makan', 'lengkap', 'variasi', 'anak', 'ramah', 'cotton', 'permen', 'camil', 'jagung', 'layan', 'kurang', 'handuk', 'tidak', 'ganti', 'informasi', 'ganti', 'menginap', 'hari', 'kasih', 'dispenser'];Positif
['anak', 'nikmat', 'menginap', 'hotel', 'kolam', 'renang', 'luas', 'fasilitas', 'film', 'romnya', 'rekomendasi', 'libur', 'keluarga', 'terima', 'kasih', 'bantu', 'mudah', 'menginap'];Positif
['terkadang', 'tidak', 'banyak', 'orang', 'hotel', 'lokasi', 'pinggir', 'jalan', 'malioboro', 'belah', 'pusat', 'belanja', 'tidak', 'pasar', 'bringharjo', 'kali', 'kesini', 'mama', 'bawa', 'keluarga', 'besar', 'happy', 'banget', 'kamar', 'bersih', 'rapi', 'banyak', 'puji', 'menu', 'sarapan', 'lengkap', 'menu', 'lezat', 'nikmat', 'tidak', 'ada', 'gagal', 'sarapan', 'poin', 'nila', 'karyawan', 'nyata', 'karyawan', 'temu', 'departemen', 'ramah', 'inti', 'banget', 'senang', 'hotel', 'betah', 'libur', 'yogyakarta', 'pilih', 'hotel', 'yogyakarta', 'bangga', 'hotel', 'sedia', 'kerja', 'karyawan', 'sandang', 'disabilitas', 'restoran', 'temu', 'karyawan', 'tidak', 'dengar', 'ramah', 'senyum', 'keren', 'aveta'];Positif
['puas', 'sarapan', 'lezat', 'kamar', 'nyaman', 'layan', 'karyawan', 'ramah', 'karyawan', 'sambut', 'tamu', 'terima', 'kasih', 'bantu', 'menginap'];Positif
['layan', 'pergi', 'posisi', 'hotel', 'bagus', 'dukung', 'penuh', 'karyawan', 'check', 'terima', 'kasih', 'hotel', 'rekomendasi'];Positif
['check', 'masuk', 'jalan', 'malioboro', 'jalan', 'meter', 'pintu', 'masuk', 'hotel', 'langsung', 'lift', 'lantai', 'lantai', 'tempat', 'sambut', 'tamu', 'waktu', 'check', 'masuk', 'jam', 'mohon', 'sesuai', 'lumayan', 'nungu', 'hotel', 'waktu', 'check', 'inya', 'jam', 'terima', 'kasih', 'check', 'masuk', 'waktu', 'kemarin', 'banyak', 'tamu', 'cepat', 'kurang', 'informasi', 'karyawan', 'ramah', 'layan', 'bagus', 'uang', 'jamin', 'ribu', 'kamar', 'bangun', 'hotel', 'terowongan', 'kamar', 'kamar', 'wangi', 'banget', 'pengalaman', 'tenang', 'santai', 'setuju', 'banget', 'kamar', 'jenis', 'deluxe', 'balkon', 'luas', 'balkon', 'luas', 'kursi', 'meja', 'balkon', 'ruang', 'lengkap', 'lengkap', 'ruang', 'kondisi', 'pencahayan', 'kamar', 'jenis', 'ngin', 'isi', 'makan', 'ringan', 'minum', 'ringan', 'lengkap', 'kamar', 'mandi', 'kondisi', 'bagus', 'bersih', 'kurang', 'kait', 'kran', 'toilet', 'pancur', 'pilih', 'guna', 'toilet', 'kran', 'pancur', 'penting', 'ambil', 'air', 'wudhu', 'muslim', 'banyak', 'ulas', 'tamu', 'keluh', 'tidak', 'menindaklanjuti', 'manajemen', 'hotel', 'setuju', 'sepele', 'salah', 'faktor', 'tamu', 'tentu', 'pilih', 'hotel', 'housekeping', 'hotel', 'tingkat', 'tata', 'rias', 'ruang', 'kali', 'jam', 'kamar', 'bersih', 'sampah', 'tidak', 'buang', 'tempat', 'sampah', 'sarapan', 'banyak', 'banget', 'lezat', 'menu', 'nasi', 'menu', 'utama', 'buah', 'buah', 'telur', 'masak', 'kue', 'kering', 'es', 'krim', 'jangan', 'ketingalan', 'menu', 'gudeg', 'lengkap', 'lezat', 'manis', 'dapat', 'lezat', 'pedas', 'mantap', 'kurang', 'jam', 'malioboro', 'tutup', 'motor', 'mobil', 'usaha', 'masuk', 'guna', 'kendaran', 'spesifik', 'taksi', 'online', 'puas', 'menginap', 'perhati', 'semoga', 'sukses', 'aveta', 'hotel', 'malioboro', 'terima', 'kasih'];Positif
['kali', 'menginap', 'yogyakarta', 'langsung', 'hotel', 'aveta', 'tempat', 'mudah', 'temu', 'malioboro', 'buka', 'ruang', 'tunggu', 'hotel', 'langsung', 'malioboro', 'karyawan', 'ramah', 'kamar', 'bersih', 'luas', 'kamar', 'mandi', 'luas', 'lengkap', 'lengkap', 'mandi', 'betah', 'kamar', 'hotel', 'minta', 'kue', 'ulang', 'makan', 'ringan', 'minum', 'buah', 'buah', 'lemari', 'es', 'gratis', 'menu', 'sarapan', 'banyak', 'jenis', 'lezat', 'hotel', 'rekomendasi'];Positif
