rating,ulasan,label
5/5,"Hotel yang sgt strategis di jalan malioboro. Karyawan ramah2. Kamar bersih. House keeping jg baik, bersih dan cepat kerjanya.Minusnya: 1. Tidak ada lahan parkir. Sangat terbatas harus valet semua ninggal kunci. Bikin tdk nyaman.2. Kamar mandi tdk ada hand shower kalau bawa baby akan kesusahan utk mandi krn hanya shower yg ada di atap saja 3. Untuk breakfastnya variasinya lumayan hanya saja rasanya sangat kurang. Mnrt sy tdk enak. Hehehe. Harusnya bisa lbh enak lg. Semoga ditingkatkan 4. Kamar tidak kedap. Terutama kalau tarik kursi sangat jelas dr kamar sebelah Semoga ada perbaikan yah. Hotel ini sangat rekomended untuk dicoba. Semoga pelayanan dan kebersihannya dijaga sama bahkan lbh baik lg.",Negatif
5/5,"Lokasi yang top. Di sekitar lokasi hotel banyak toko toko kecil menjual bermacam macam barang. Termasuk minimarket. Ruang tiap tipe kamar yang luas, bersih dan harum. Disediakan nya dispenser air minum di dalam kamar tipe family room. Jadi tidak usah repot repot membeli air minum lagi. 👍",Positif
2/5,"Kurang saya rekomendasikan. Pesan premier room di link nya aveta hotel, gak dapet bf. Padahal waktu check inn, dikabari kita free bf. Setelah esok hari mo bf, nomor kamar kita gak ada dlm list bf alias exclude bf!
Kamar cukup bersih dan semua berfungsi dgn baik, hanya beberapa kali listrik padam. Sudah konfirm, nyala lg (sekelas hotel bisa mati lampu juga)
Amenities yg ada dikamar kami ada salah 1 nya sudah dlm keadaan setengah terbuka. Langsung buang!
Yang katanya menghadap malioboro bener, tapi terhalang pohon dan tembok. Soo percuma ae seh.
Makan minum gak icip². Jadi no komen.",Negatif
5/5,"nginap 2 hari dan 2 malam bersama istri dan ank sangat puas .... nyaman banget pelayan bagus ramah2, pokoee puas dah. Hrg juga oke lah kalau mau lebih murah lagi pesan kamar lewat aplikasi. Restonya juga masakan nya enak2. Yang kurang satu parkirnya sempit tp Tidk ada kendala buat parkir Krn ada security yg markir mobil. Tinggal taroh kunci mobil ke security meraka yg parkir sendiri.",Positif
2/5,"Saya memberikan bintang 2 ini sebelum saya masuk kamar. Karena kamar akan siap nanti di jam 3. Hari ini tgl 13-April 25 dan saya menulis di jam 12:39.Kekecewaan saya adalah dimulai dari sebelum melakukan booking. Saya coba berkomunikasi melalui WA. Dari bahasa WA pun sepertinya sudah agak defensif ketika saya mempertanyakan masalah early check in.Early check in bisa dilakukan paling cepat jam 12 dan itupun tergantung kesiapan kamar. Ok, saya terima alasan ini. Dan ketika saya sampai, ternyata pernyataan berubah menjadi jam 3 sore. Kemudian FD menyampaikan, ada yg check out jam 12, pengerjaan paling 1 jam. Jadi saya bilang, sudah bisa masuk dong jam 1 siang. Dan langsung dijawab kemungkinan di jam 3 siapnya karena banyak kamar yg check out… (speechless…)Dan WA pun sampai sekarang belum direspon..Terima kasih Aveta sudah memberikan pelajaran",Negatif
4/5,"Lokasinya strategis bangeeet!! cuman kalo pertama kali kesini harus liat seksama soalnya pintu masuk gang nya agak kecil di dekat pos tourist. Pelayanan bagus dan ramah, peka bangett... aku padahal bisik2 sama suamiku pas mau makan bingung nyari sendok dimana ehh sama pelayannya ditunjukin di lemari steril 🥹 barang2 banyak juga dibantu bawa ke kamar pake troli. Makanannya juga enak ngga ada yang fail!!cuman 1 aja kurangnya aku pesen 2 hari naah di hari ke-2 aku pgn ganti sprei udh ditaro papan untuk req. ganti sprei tapi ngga diganti hehehe tapi gapapaaa room servicesnya juga rapih & bersih kok. dateng dapet kue, 2 minuman soda sama snack gratis 🔥💯❤️✨di lantai bwh ada life music dan restooo trs ada pool juga di lt. 8 dan kebetulan pas aku check in lagi dibersihkan. hotelnya OK bageet",Positif
1/5,Pengalaman menginap yang kurang menyenangkan  .. 😔Kami Menginap di tanggal  5-7 Mei  2025 shower toilet  rusak info ke Room service  slow respon  hari berikutnya baru di perbaiki..Di hari kedua mati lampu selama 30 menit tanpa ada penjelasan apapun..Mohon di perbaiki  untuk kedepannya,Negatif
4/5,"Lokasi strategis Makanan lumayan lengkap variannya, kids friendly ada cotton candy, popcorn Service agak kurang dikit, handuk ga diganti..tp setelah info diganti baru..karna nginep lebih dari sehari.Dikasih dispenser...",Positif
5/5,"Anak saya senang sekali menginap di hotel ini, kolam renang nya luas dan ada fasilitas movie room juga. sangat rekomen untuk tempat berlibur bersama keluarga, terima kasih untuk mba danisa sudah membantu mempermudah kami selama menginap",Positif
5/5,"Kadang suka heran kenapa belum banyak yg tau soal hotel ini.. lokasinya bener2 dipinggir jalan malioboro loh😭 sebelahan sama mall dan mau ke pasar bringharjo juga gak jauh😍 kedua kalinya kesini, awal sama mama aja, skrng ajak keluarga besar dan semua happy bangettt.. kamarnya bersih, rapih juga, banyak compliment jugaa, breakfastnya juga lengkap menunya mana enak enak semua belum ada yg fail dri pertama bfast disini🥹 point plusnya bgt adalah staffnya. Literally semua staff yg ditemui, dibagian apapun semuanya ramah ramah bgttt😭❤️ pokoknya super duper happy, hotelnya bikin tambah betah liburan di Jogja ❤️❤️❤️ pasti akan selalu pilih hotel ini setiap ke Jogja ❤️❤️❤️❤️ tambahan lagi, aku bangga bgt ada hotel yg masih mau mempekerjakan staff with disability. Di restaurant aku ketemu pegawai yg ga bisa dengar tp ttep ramah dan senyum.. keren bgt pokoknya aveta 🙏🏻",Positif
5/5,"Sangat memuaskan, breakfast nya enak enak , kamar juga sangat nyaman. Pelayanan nya mantap semua karyawan sangat ramah, mba danisha resepsionis terima kasih sudah dibantu selama proses menginap",Positif
5/5,"Service almost excellent. Dari awal datang sampai dengan pulang. Posisi hotel jg sangat enak. Terakhir, fully support by mba Risa dan Mas Eky saat akan check out. Thank you and very recommended hotel",Positif
