kata;normalisasi
sgt;sangat
jg;juga
minusnya;kurang
house ;rumah
keeping;penjaga
ninggal;tinggal
tdk;tidak
ninggal;tinggal
mnrt;menurut
sy;saya
tdk;tidak
enak;lezat
lbh;lebih
lg;lagi
dr;dari
rekomended ;rekomendasi
minimarket;toko kecil
gak;tidak
bf;sarapan pagi
check inn;lapor masuk
free;gratis
esok;besok
mo;ingin
dlm;dalam
list;daftar
exclude;tidak masuk
bf;sarapan pagi
dgn;dengan
nyala;hidup
lg;lagi
sekelas;setara
amenities;perlengkapan
yg;yang
bener;tepat
soo;jadi
ae;aja
icip;coba
no;tidak
komen;ulasan
nginap;tinggal
ank;anak
pokoee;inti
hrg;harga
oke;setuju
tidk;tidak
tp;tapi
krn;karena
security;satuan pengamanan
taroh;taruh
tgl;tanggal
booking;pesan
wa;aplikasi pesan
agak;sedikit
defensif;bela
early;awal
check ;lapor 
in;masuk
ok;setuju
fd;karyawan depan
check ;lapor
out;keluar
speechless;kaget
bangeeet;banget
tourist;wisata
bangett;banget
pas;saat
mau;ingin
nyari;cari
steril ;bersih
pake;pakai
troli;gerobak dorong
ngga;tidak
fail;gagal
naah;tapi
pgn;ingin
udh;sudah
req;minta
gapapaaa;tidak masalah
servicesnya;pelayan 
room;kamar
dapet;dapat
snack;camilan
 bwh;bawah
life;langsung
music;musik
restooo;tempat makan
trs;terus
pool;kolam renang
live;langsung
lt;lantai
bageet;banget
service;layanan
slow;lambar
kids;anak
friendly;ramah
cotton;kapas
candy;permen
ga;tidak
variannya;jenis
tp;tapi
popcorn;camilan jagung
movie;film
mba;karyawan
gak;tidak
skrng ;sekarang
bangettt;banget
happy;senang
compliment;apresiasi
jugaa;juga
breakfastnya;sarapan 
breakfast;sarapan
dri;dari
bfast;sarapan
point;nilai
plusnya;tambah
bgt;banget
staffnya;karyawan
literally;benar
staff;karyawan
sebelahan;samping
gak;tidak
skrng;sekarang
bangettt;banget
bgttt;banget
super;sangat
duper;bangat
happy;senang
jogja ;yogyakarta
bgt;banget
with;dengan
disability;penyandang disabilitas
restaurant;tempat makan
pegawai;karyawan
ga;tidak
tp;tapi
ttep;masih
pokoknya;inti
resepsionis;sambut tamu
almost;hampir
excellent;sempurna
by;dengan
mas;karyawan
thank ;terima
you;kasih
very;sangat
recommended;rekomendasi
fully ;penuh
support;dukungan
klo;kalau
agak ;cukup
entrance;gerbang
berupa;seperti
deposit;uang jaminan
tunnel;lorong
relax;nyaman
spacenya;ruang
tipe;jenis
room;kamar
mini;kecil
bar;lemari dingin
bathroom;kamar mandi
kloset;toilet
shower;pancuran
prefer;lebih memilih
review;ulasan
housekeeping;karyawan kebersihan
improve;perbaiki
makeup;rapi
make-up;rapi
bervariasi;bayak jenis
omelet;telur masak
pastry;roti
enakkkkk;enak
mantappp;mantap
tapiiii ;tapi
minusnya;kurang
agak ;sedikit
effort;upaya
overall;selebihnya
pake;pakai
khususnya;spesifik
oke;bagus
jogja;yogyakarta
baguss;bagus
good;bagus
mas;karyawan
mba;karyawan
recommended;rekomendasi
yng;yang
mau;ingin
mantab;mantap
receptiont;karyawan depan
plaza;pusat belanja
gercep;gerak cepat
aja;saja
staycation;relaksasi
stay;tinggal
n;dan
poto;photo
varian;jenis
helpfull;sangat bantu
all;semua
staff;karyawan
kudu;harus
klau;kalau
minimalisir;mengurangi
kremer ;creamer
aminitise;perlengkapan
ac;pendingin ruangan
top;mantap
mnt ;menit
dr;dari
ka;kereta api
jln;jalan
sdh;sudah
utk;untuk
untk;untuk
ntk;untuk
ekspektasi;harapan
ka;karyawan
mau;ingin
rekomend;rekomendasi
resepsionisnya;karyawan depan
kak;karyawan
jd;jadi
gak;tidak
org;orang
hotell;hotel
thankyouuuu;terima kasih
bangettt;banget
kamarny;kamar
bngettt;banget
sangatt;sangat
view ;pemandangan
nengok ;lihat
jugaa;juga
d;di
jan;januari
responsif;cepat tanggap
solutif;solusi praktis
ktinggalan;ketinggalan
brg;barang
via;melalui
k;ke
almt;alamat
rmh;rumah
berterimakasih;terima kasih
fo;karyawan depan
mbl ;mobil
yg;yang
effort;usaha
keruwetan ;susah
tmpt;tempat 
krg;kurang
minus;kurang
ribet;susah
ksian;kasihan
bpk;bapak
smpe;sampe
taro;parkir
smpg;sebelah
gmpg;mudah
next;lanjut
udh;sudah
lg;lagi
akn;akan
plhn;pilih
terimakasih;terima kasih
pelayangan;layanan
resapsionisnya;karyawan depan
terimakaish;terima kasih
hendak;ingin
energik;kuat
lezat;enak
selang;hanya
langkap;langkah
tuk;untuk
pegawai;karyawan
cekatan;cepat
telp;telpon
hp;telepon genggam
cek ;lapor
variatif;banyak
org;orang
kalo ;kalau
dri;dari
representatif;bentuk
mbak;karyawan
checkin ;lapor masuk
checkout;lapor keluar
staf;karyawan
thankyou;terima kasih
empuk;lembut
joss;mantap
sm;sama
bgt;banget
begete;banget
 exekutip;eksekutif
delicious;sangat enak
foods;makanan
fast ;cepat
response;tanggap
and;dan
responsibility;tanggap
about ;tentang
is;adalah
best;sangat bagus
valet;petugas parkir
schedule;jadwal
on;pada
gmn;gimana
overal ;semua
helpful;sangat bantu
western;barat
food;makanan
boy;karyawan
gel;sabun
bathroom;kamar mandi
smoking;rokok
no;tidak
outdoor;luar ruang
ring ;pusat kota
jogjakarta;yogyakrta
thank ;terima
you;kasih
full ;penuh
thanks ;terima kasih
for;untuk
hospitality;ramah tamah
during;selama
my;saya
holiday;libur
god;tuhan
bless;berkat
crew;karyawan
time;waktu
ses;senang
sy;saya
jantung;pusat
lgsg;langsung
dg;dengan
aplg;apalagi
sonfar;sejauh ini
pkoknya;inti
mngusahakan;usaha
rate;nilai
i;saya
will;akan
come;datang
